title,author,pub_date,genres
Casanova's Chinese Restaurant,Anthony Powell,1960,"Satire, Novel"
A Time of Changes,Robert Silverberg,1971,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Downward to the Earth,Robert Silverberg,1970,"Science Fiction, Speculative fiction"
The Ancestor's Tale,Richard Dawkins,2004,
In Death Ground,Steve White,1997-05,"Science Fiction, Speculative fiction"
The Shiva Option,Steve White,,"Science Fiction, Speculative fiction"
"Run Silent, Run Deep","Edward L. Beach, Jr.",,
Holes,Louis Sachar,1998-08-20,"Satire, Children's literature, Young adult literature, Fiction"
The Lost City of the Jedi,Paul Davids,,Science Fiction
The Alchymist's Cat,Robin Jarvis,1991,"Speculative fiction, Fantasy"
The Pillars of Creation,Terry Goodkind,2001-11-20,"Speculative fiction, Fantasy, Fiction, High fantasy"
Memoirs Found in a Bathtub,Stanisław Lem,1971,"Dystopia, Science Fiction, Satire, Social science fiction"
Pursuit of the House-Boat,John Kendrick Bangs,1897,"Fantasy, Fiction"
Pollyanna,Eleanor H. Porter,1913,"Historical fiction, Children's literature, Fiction"
Grantchester Grind,Tom Sharpe,,Fiction
The Trojan Women,Euripides,,
The Dragonbone Chair,Tad Williams,1988-10-25,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Magician,Raymond E. Feist,1982-10,"Science Fiction, Fantasy, Fiction"
The Cruel Sea,Nicholas Monsarrat,1951,"Fiction, Novel"
Iphigeneia at Aulis,Euripides,,
Woyzeck,Georg Büchner,,
Iphigeneia in Tauris,Euripides,,
The Carpet People,Terry Pratchett,,"Science Fiction, Children's literature, Fantasy, Speculative fiction"
The World Inside,Robert Silverberg,1971,"Science Fiction, Speculative fiction, Fiction, Dystopia"
The Uplift War,David Brin,1987,"Science Fiction, Speculative fiction, Fiction, Novel"
The Female Man,Joanna Russ,1975,"Science Fiction, Novel, Speculative fiction, Fantasy"
Children of Gebelawi,Naguib Mahfouz,,Novel
Demi-Gods and Semi-Devils,Louis Cha,1963-09-03,Wuxia
My Ishmael,Daniel Quinn,1997-12,"Fantasy, Fiction, Novel"
Beggars in Spain,Nancy Kress,1993,"Hard science fiction, Science Fiction, Speculative fiction, Fiction"
Cities of the Red Night,William S. Burroughs,1981,"Speculative fiction, Novel"
Dune: The Battle of Corrin,Kevin J. Anderson,2004-08-17,"Science Fiction, Speculative fiction"
Dandelion Wine,Ray Bradbury,1957,"Science Fiction, Novel, Speculative fiction, Fantasy"
Generation Warriors,Anne McCaffrey,1991-03,"Science Fiction, Children's literature, Fantasy, Speculative fiction"
Volpone,Ben Jonson,1606,
The Chocolate War,Robert Cormier,1974,"Children's literature, Young adult literature, Speculative fiction, Fiction"
SilverFin,Charlie Higson,2005-03-03,Spy fiction
The Night of the Iguana,Tennessee Williams,,
The Polar Express,Chris Van Allsburg,,"Picture book, Children's literature, Fiction"
"Bless Me, Ultima",Rudolfo Anaya,1972,
The Gemini Contenders,Robert Ludlum,1976,"Crime Fiction, Fiction, Suspense"
The Greek Passion,Nikos Kazantzakis,,
Amaya o los vascos en el siglo VIII,,,Historical novel
The Food of the Gods and How It Came to Earth,H. G. Wells,1904,"Science Fiction, Speculative fiction, Romance novel, Scientific romance"
Under the Greenwood Tree,Thomas Hardy,1872,
Desperate Remedies,Thomas Hardy,1871,Novel
A Pair of Blue Eyes,Thomas Hardy,1873,Novel
The Hand of Ethelberta,Thomas Hardy,,Novel
The Return of the Native,Thomas Hardy,1878,
Wise Blood,Flannery O'Connor,1952-05-15,Novel
The World of Suzie Wong,Richard Mason,1957,"Fiction, Novel"
Riders of the Purple Sage,Zane Grey,,"Western, Fiction"
Dragondrums,Anne McCaffrey,1979-03,"Science Fiction, Children's literature, Speculative fiction, Young adult literature"
Virtual Light,William Gibson,1994-10-06,"Cyberpunk, Science Fiction, Utopian and dystopian fiction"
Idoru,William Gibson,1997-09-04,"Cyberpunk, Science Fiction, Speculative fiction, Utopian and dystopian fiction"
Blackwood Farm,Anne Rice,2002-10-29,"Speculative fiction, Horror, Fiction, Romance novel"
Evil Under the Sun,Agatha Christie,,"Crime Fiction, Detective fiction, Children's literature, Mystery"
Horse Under Water,Len Deighton,,
The Neutronium Alchemist,Peter F. Hamilton,1997-10-20,"Science Fiction, Speculative fiction, Fantasy, Novel"
The Naked God,Peter F. Hamilton,1999-10-08,"Science Fiction, Speculative fiction, Fiction, Novel"
Airframe,Michael Crichton,1996,"Science Fiction, Novel"
Eastward Hoe,John Marston,1605,
Evelina,Fanny Burney,1778,"Fiction, Novel"
The Gulf War Did Not Take Place,Jean Baudrillard,,Sociology
Sputnik Sweetheart,Haruki Murakami,1999,"Speculative fiction, Fiction, Novel"
"Houston, Houston, Do You Read?","James Tiptree, Jr",1976-05,
My Friend Flicka,Mary O'Hara,1941,"Young adult literature, Novel"
A Planet Called Treason,Orson Scott Card,,"Science Fiction, Speculative fiction"
The Guide,R. K. Narayan,,Fiction
The Soul of a New Machine,Tracy Kidder,1981-07,"Mathematics, Science"
The Last Hurrah,Edwin O'Connor,1956,"Biography, Fiction, Novel"
Six Characters in Search of an Author,Luigi Pirandello,,
Monstrous Regiment,Terry Pratchett,2003,"Speculative fiction, Fantasy, Fiction"
The Plot Against America,Philip Roth,2004-09,Fiction
Mary Poppins Opens the Door,P. L. Travers,1943,Children's literature
Eden,Stanisław Lem,1959,"Science Fiction, Speculative fiction"
Ringworld's Children,Larry Niven,2004,"Science Fiction, Speculative fiction, Novel"
Imajica,Clive Barker,1991,"Speculative fiction, Fantasy"
The Man with the Twisted Lip,Arthur Conan Doyle,,
The Adventure of the Blue Carbuncle,Arthur Conan Doyle,1892,"Mystery, Fiction"
The Adventure of the Speckled Band,Arthur Conan Doyle,,
Comanche Moon,Larry McMurtry,1997,"Western, Children's literature, Fiction"
Coldheart Canyon,Clive Barker,2001,"Speculative fiction, Horror"
Tarzan of the Apes,Edgar Rice Burroughs,1914,"Science Fiction, Children's literature, Adventure novel, Speculative fiction"
Zoot Suit,Luis Valdez,,
The Dark Tower,Stephen King,2004-09-21,"Science Fiction, Horror, Western fiction, Speculative fiction"
The Andalite Chronicles,K. A. Applegate,1997-12,"Science Fiction, Speculative fiction, Novel"
Deception Point,Dan Brown,2001,"Thriller, Techno-thriller, Speculative fiction, Science Fiction"
Love in the Time of Cholera,Gabriel García Márquez,1985,Novel
Gai-Jin,James Clavell,1993-06,"Historical fiction, Fiction, Novel"
Ammonite,Nicola Griffith,1992-12-23,"Science Fiction, Speculative fiction"
Rite of Passage,Alexei Panshin,1968,"Science Fiction, Speculative fiction, Fiction, Novel"
The Best and the Brightest,David Halberstam,,Speculative fiction
Thrilling Cities,Ian Fleming,1963,Travel literature
Fungus the Bogeyman,Raymond Briggs,1977,"Children's literature, Fiction"
Up the Down Staircase,Bel Kaufman,1965,Novel
The Killers,Ernest Hemingway,1927,
A Summons to Memphis,Peter Taylor,1986,Novel
"The Monster at the End of This Book: Starring Lovable, Furry Old Grover",,1971,Children's literature
Coma,Robin Cook,,"Thriller, Speculative fiction, Horror, Fiction"
The Spirit of St. Louis,Charles Lindbergh,1953-09-14,"History, Autobiography"
Kaffir Boy,Mark Mathabane,1986,Autobiography
Farewell to Manzanar,James D. Houston,1972,"Autobiography, Biography, Children's literature, Non-fiction"
A Princess of Mars,Edgar Rice Burroughs,1917,"Science Fiction, Children's literature, Planetary romance, Sword and planet"
Faceless Killers: A Mystery,Henning Mankell,1997,"Crime Fiction, Mystery, Novel, Fiction"
He Who Whispers,John Dickson Carr,1946,"Mystery, Detective fiction"
The Crooked Hinge,John Dickson Carr,1938,"Mystery, Detective fiction, Novel, Fiction"
Blood Canticle,Anne Rice,2003-10-28,"Speculative fiction, Horror, Fiction"
"Much Obliged, Jeeves",P. G. Wodehouse,1971-10-15,Fiction
The Religion War,Scott Adams,,"Science Fiction, Speculative fiction"
The Planiverse,,,Science Fiction
Earthly Powers,Anthony Burgess,1980,"Speculative fiction, Historical novel"
Coriolanus,William Shakespeare,,
The Knight of the Burning Pestle,,,
Sanctuary,William Faulkner,1931,Fiction
Hotel,Arthur Hailey,,Fiction
Nightshade,Jack Butler,1989,Science Fiction
A Man in Full,Tom Wolfe,1998-11-12,"Fiction, Novel"
The Blackwater Lightship,Colm Tóibín,,Novel
Forbidden Love,,,
Jonathan Strange & Mr Norrell,Susanna Clarke,2004-09-08,"Alternate history, Speculative fiction, Fantasy, Historical novel"
The Last Don,Mario Puzo,,"Fiction, Suspense"
Venice Preserv'd,Thomas Otway,,
Doon,Ellis Weiner,1984-11,"Parody, Science Fiction, Speculative fiction"
I Am the Cheese,Robert Cormier,,"Mystery, Children's literature, Young adult literature, Speculative fiction"
My Name is Legion,Roger Zelazny,,"Science Fiction, Short story"
Carpathian Castle,Jules Verne,1892,"Science Fiction, Horror, Novel"
He Died With A Felafel In His Hand,John Birmingham,1994,"Biographical novel, Comic novel"
Count Karlstein,Philip Pullman,,"Speculative fiction, Children's literature, Fiction"
Leucippe and Clitophon,Achilles Tatius,,
Daphnis and Chloe,Longus,,
Autumn Visits,Sergey Lukyanenko,,Science Fiction
Black Sun,Edward Abbey,1971,"Western, Fiction, Romance novel"
The Sleepwalkers,Arthur Koestler,,
3 Maccabees,,,
4 Maccabees,,,
A Laodicean,Thomas Hardy,,
Two on a Tower,Thomas Hardy,1882,Novel
The Woodlanders,Thomas Hardy,1887,
1 Esdras,,,
The Third Policeman,Flann O'Brien,1967,"Mystery, Comic novel, Speculative fiction, Fiction"
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,2003,Non-fiction
West of Eden,Harry Harrison,1984,"Science Fiction, Novel, Alternate history, Speculative fiction"
On a Pale Horse,Piers Anthony,1983,"Fantasy, Novel"
The Burning Bed,Faith McNulty,,
The Stars Shine Down,Sidney Sheldon,1992-10,"Thriller, Fiction, Romance novel, Novel"
Dombey and Son,Charles Dickens,1848,Novel
The Forty Days of Musa Dagh,Franz Werfel,1933,"Historical fiction, Fiction, War novel, Historical novel"
Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,1971,"Science Fiction, Children's literature, Fantasy, Speculative fiction"
Vathek,William Thomas Beckford,,"Gothic fiction, Speculative fiction, Fantasy"
Requiem for a Dream,"Hubert Selby, Jr.",1978,Fiction
On The Black Hill,Bruce Chatwin,1982,Novel
Travels With Charley: In Search of America,John Steinbeck,1962,Travel literature
Imzadi,,1992-08-01,"Chivalric romance, Science Fiction, Romance novel"
Spring Snow,Yukio Mishima,1966,"Fiction, Novel"
The Sigma Protocol,Robert Ludlum,2001-10-30,Thriller
The Keepers of the House,Shirley Ann Grau,,"Fiction, Novel"
Half Past Human,T. J. Bass,1971,"Science Fiction, Speculative fiction, Novel"
L'Atlantide,Pierre Benoit,1920,Fantasy
Strandloper,Alan Garner,1996-05,Historical novel
The Canary Murder Case,S. S. Van Dine,,"Mystery, Detective fiction, Fiction, Suspense"
The Bishop Murder Case,S. S. Van Dine,,"Mystery, Novel, Fiction, Suspense"
The Kidnap Murder Case,S. S. Van Dine,,"Mystery, Detective fiction"
Bouvard et Pécuchet,Gustave Flaubert,1881,Novel
Advise and Consent: A Novel of Washington Politics,Allen Drury,1959-07-11,"Fiction, Novel"
Two Concepts of Liberty,Isaiah Berlin,,
The Last of the Really Great Whangdoodles,Julie Andrews,1974,"Speculative fiction, Fantasy, Children's literature"
Tribes of Redwall Otters,Brian Jacques,2002,"Speculative fiction, Fantasy, Fiction"
'Art',Yasmina Reza,,
The Old Man of Lochnagar,,,
The Royal Family,Edna Ferber,,
The Line of Beauty,Alan Hollinghurst,2004,"Gay Themed, LGBT literature, Gay novel, Fiction"
The Smoke Ring,Larry Niven,1987,"Science Fiction, Speculative fiction, Fiction, Novel"
Stars in My Pocket Like Grains of Sand,Samuel R. Delany,1984,"Science Fiction, Speculative fiction"
Valley of the Squinting Windows,Brinsley MacNamara,1918,"Fiction, Novel"
Stone of Tears,Terry Goodkind,1995-09-15,"Science Fiction, Speculative fiction, Fantasy, Fiction"
A Wind in the Door,Madeleine L'Engle,1973-01-01,"Science Fiction, Children's literature, Speculative fiction, Young adult literature"
The Long Patrol,Brian Jacques,1997,"Children's literature, Fantasy, Speculative fiction, Fiction"
Netherland,Joseph O'Neill,2008-05,Fiction
The Gadget Maker,,,
Orley Farm,Anthony Trollope,1861,"Fiction, Romance novel"
The Big Time,Fritz Leiber,,"Science Fiction, Speculative fiction, Fiction, War novel"
The Last Juror,John Grisham,2004,"Mystery, Novel, Suspense"
Harpist in the Wind,Patricia A. McKillip,1979,"Science Fiction, Children's literature, Fantasy, Speculative fiction"
Islandia,Austin Tappan Wright,1942,
Gardens of the Moon,Steven Erikson,1999-04-01,"Science Fiction, Speculative fiction, Fantasy, Fiction"
General Prologue,Geoffrey Chaucer,,
Schismatrix,Bruce Sterling,1985-06,"Science Fiction, Speculative fiction"
The City of Ember,Jeanne DuPrau,,"Science Fiction, Children's literature, Speculative fiction, Young adult literature"
Earthworks,Brian Aldiss,1965,"Science Fiction, Speculative fiction"
The Great American Novel,Philip Roth,,"Fiction, Novel"
Heir to the Empire,Timothy Zahn,,"Science Fiction, Speculative fiction, Fiction"
Dark Force Rising,Timothy Zahn,,"Science Fiction, Speculative fiction, Children's literature, Fiction"
The Celestine Prophecy,James Redfield,1993,"Philosophy, Speculative fiction, Inspirational, Fiction"
The Locked Room,Per Wahlöö,1972,Crime Fiction
Castaways of the Flying Dutchman,Brian Jacques,2001,"Speculative fiction, Fantasy"
City of Golden Shadow,Tad Williams,1996-12-05,"Science Fiction, Speculative fiction, Fantasy, Fiction"
"Thuvia, Maid of Mars",Edgar Rice Burroughs,1920,"Science Fiction, Children's literature, Speculative fiction, Mystery"
The Science of Discworld III: Darwin's Watch,,2005,Alternate history
Five Little Pigs,Agatha Christie,,"Crime Fiction, Mystery, Fiction, Suspense"
Seventh Son,Orson Scott Card,1987,"Alternate history, Science Fiction, Speculative fiction, Fantasy"
Rose Madder,Stephen King,,"Speculative fiction, Fantasy"
Rupert of Hentzau,Anthony Hope,,"Romance novel, Fantasy, Fiction, Adventure novel"
Tono-Bungay,H. G. Wells,1909,"Science Fiction, Fiction, Novel"
Eaters of the Dead,Michael Crichton,1976-03,"Speculative fiction, Historical fiction, Fantasy, Fiction"
The Lyre of Orpheus,Robertson Davies,,"Speculative fiction, Fiction"
The Clan of the Cave Bear,Jean M. Auel,,"Speculative fiction, Fantasy, Fiction, Historical novel"
The Assassination of Julius Caesar: A People's History of Ancient Rome,Michael Parenti,,
The Ill-Made Knight,T. H. White,1940,"Speculative fiction, Fantasy"
Boonville,Robert Mailer Anderson,2001-11-01,Fiction
Song of Solomon,Toni Morrison,1977,Fiction
Roadside Picnic,Boris Strugatsky,,Science Fiction
White Teeth,Zadie Smith,2000-01-27,"Fiction, Novel"
My Uncle Oswald,Roald Dahl,1979-10,"Speculative fiction, Fiction, Novel"
Boy's Life,Robert R. McCammon,,"Mystery, Speculative fiction"
Deepwater Black,Ken Catran,,"Science Fiction, Speculative fiction, Fiction"
The Death Ship,B. Traven,,"Fiction, Novel"
The Magic Finger,Roald Dahl,,"Science Fiction, Children's literature, Fantasy, Speculative fiction"
The Twits,Roald Dahl,1980,"Speculative fiction, Children's literature, Fiction"
George's Marvelous Medicine,Roald Dahl,1981,"Speculative fiction, Children's literature"
The Giraffe and the Pelly and Me,Roald Dahl,,"Speculative fiction, Children's literature, Fiction"
Esio Trot,Roald Dahl,1990,"Speculative fiction, Children's literature, Fiction"
The Vicar of Nibbleswicke,Roald Dahl,1991,"Speculative fiction, Children's literature, Fiction"
For Love of the Game,Michael Shaara,,Fiction
The Lions of Al-Rassan,Guy Gavriel Kay,1995-05,"Speculative fiction, Fantasy, Fiction, Historical novel"
An Unsuitable Job for a Woman,P. D. James,,"Mystery, Fiction, Suspense"
Asterix in Britain,,1966,
Beyond Freedom and Dignity,B. F. Skinner,,
Scorpius,John Gardner,1988-06-01,Spy fiction
The Amateur Marriage,Anne Tyler,2004,"Fiction, Novel"
Crabwalk,Günter Grass,2002,Novel
Mossflower,Brian Jacques,1988,"Children's literature, Fantasy, Speculative fiction, Fiction"
Into the Wild,Jon Krakauer,1996,"Travel, Biography, Travel literature, Speculative fiction"
The Celebrated Jumping Frog of Calaveras County,Mark Twain,1867,
Lord Brocktree,Brian Jacques,2000-09-01,"Children's literature, Fantasy, Speculative fiction, Fiction"
Martin the Warrior,Brian Jacques,1993,"Children's literature, Fantasy, Speculative fiction, Fiction"
The True Believer: Thoughts on the Nature of Mass Movements,Eric Hoffer,1951,Non-fiction
Binary,Michael Crichton,1972,"Techno-thriller, Speculative fiction"
Voyage from Yesteryear,James P. Hogan,1982,"Science Fiction, Speculative fiction, Fiction"
Mortal Engines,Philip Reeve,2001,"Science Fiction, Children's literature, Speculative fiction, Young adult literature"
Eyeless in Gaza,Aldous Huxley,1936,"Fiction, Novel"
Payasos en la lavadora,Álex de la Iglesia,1997,"Satire, Novel"
Predator's Gold,Philip Reeve,2003,"Science Fiction, Speculative fiction, Young adult literature, Steampunk"
The Piano Lesson,August Wilson,,
How Far Can You Go?,David Lodge,1980,Novel
Horton Hatches the Egg,Dr. Seuss,1940,
Moonseed,Stephen Baxter,1998-08-03,"Science Fiction, Speculative fiction, Fiction"
The Sickness Unto Death,Søren Kierkegaard,1849,
The Horse's Mouth,Joyce Cary,1944,Fiction
A Game at Chess,Thomas Middleton,,
Odd Thomas,Dean Koontz,2003,"Thriller, Mystery, Speculative fiction, Horror"
Dune: House Atreides,Kevin J. Anderson,1999-10-05,Science Fiction
A House-Boat on the Styx,John Kendrick Bangs,1895,"Fantasy, Speculative fiction, Short story, Fiction"
Hannibal Rising,Thomas Harris,2006-12-05,"Thriller, Crime Fiction, Speculative fiction, Mystery"
The Teeth of the Tiger,Tom Clancy,2003-08-01,"Thriller, Fiction, Novel"
Hero and Leander,Christopher Marlowe,1598,
The Stupidest Angel,Christopher Moore,,"Speculative fiction, Horror, Comic fantasy, Absurdist fiction"
Fantastic Voyage II: Destination Brain,Isaac Asimov,1987,"Science Fiction, Speculative fiction"
Notes on a Scandal,Zoë Heller,,Fiction
